,weekday,weekend,time
01,3.94588059762,4.20354978807,1
02,3.77643990457,3.92345681864,2
03,3.64539710515,3.80725930206,3
04,3.5984795705,3.76038553428,4
05,3.78147948224,3.2404528553,5
06,3.6062667492,3.72334704316,6
07,4.20901822192,3.60407049304,7
08,4.85798358252,3.92409762333,8
09,4.92483528819,4.25903217189,9
10,4.83926910318,4.03502155111,10
11,4.92186252191,4.13667998943,11
12,4.91307362867,4.2115179341,12
13,4.80300160579,4.73035622899,13
14,4.9338591248,4.28738046246,14
15,4.63162540031,4.26411679057,15
16,4.52801428064,4.42626145542,16
17,4.74154895982,4.60981480093,17
18,4.82463666343,4.4324733744,18
19,4.62355534808,4.5137020729,19
20,4.30370014426,4.25490165562,20
21,4.24848752116,4.0759043889,21
22,4.20933037377,4.17177473376,22
23,4.13072822764,4.17016121359,23
24,3.7653955243,4.14739229854,24
