Time,Weekday,Weekend
1,10,9.4
2,8.5,10.2
3,8,8.7
4,8,8.1
5,8,8
6,8,8
7,8.2,8
8,8.2,8
9,8,8
10,8.5,8.3
11,8.3,8.2
12,8,8.5
13,8,9.1
14,8.4,9.7
15,9.3,10.9
16,9.7,10.3
17,10.2,9.6
18,10,8.8
19,11,9.8
20,14,11.9
21,13.3,9.4
22,10.6,11
23,9.4,8.4
24,10.8,8.3
