,Time,weekday,weekend
0,1,4.95454545455,4.84545454545
1,2,4.68181818182,4.99090909091
2,3,4.59090909091,4.71818181818
3,4,4.59090909091,4.60909090909
4,5,4.59090909091,4.59090909091
5,6,4.59090909091,4.59090909091
6,7,4.62727272727,4.59090909091
7,8,4.62727272727,4.59090909091
8,9,4.59090909091,4.59090909091
9,10,4.68181818182,4.64545454545
10,11,4.64545454545,4.62727272727
11,12,4.59090909091,4.68181818182
12,13,4.59090909091,4.79090909091
13,14,4.66363636364,4.9
14,15,4.82727272727,5.11818181818
15,16,4.9,5.00909090909
16,17,4.99090909091,4.88181818182
17,18,4.95454545455,4.73636363636
18,19,5.13636363636,4.91818181818
19,20,5.68181818182,5.3
20,21,5.55454545455,4.84545454545
21,22,5.06363636364,5.13636363636
22,23,4.84545454545,4.66363636364
23,24,5.1,4.64545454545
