Time,Weekday,Weekend
1,9,9.2
2,8.7,8
3,8.8,8.4
4,8.1,9.3
5,8,8.5
6,8.2,8
7,8.6,8
8,8.2,8
9,8.2,8
10,9.3,8.4
11,10.6,8.3
12,9,9.3
13,8.1,8
14,8.2,8
15,9.8,8
16,9.6,8.3
17,10.4,8.5
18,9.8,8.3
19,10.2,8.9
20,12.5,8.9
21,14,8.3
22,12.5,9.5
23,10,8.1
24,10.3,9.1
