,Time,weekday,weekend
0,1,4.77272727273,4.80909090909
1,2,4.71818181818,4.59090909091
2,3,4.73636363636,4.66363636364
3,4,4.60909090909,4.82727272727
4,5,4.59090909091,4.68181818182
5,6,4.62727272727,4.59090909091
6,7,4.7,4.59090909091
7,8,4.62727272727,4.59090909091
8,9,4.62727272727,4.59090909091
9,10,4.82727272727,4.66363636364
10,11,5.06363636364,4.64545454545
11,12,4.77272727273,4.82727272727
12,13,4.60909090909,4.59090909091
13,14,4.62727272727,4.59090909091
14,15,4.91818181818,4.59090909091
15,16,4.88181818182,4.64545454545
16,17,5.02727272727,4.68181818182
17,18,4.91818181818,4.64545454545
18,19,4.99090909091,4.75454545455
19,20,5.40909090909,4.75454545455
20,21,5.68181818182,4.64545454545
21,22,5.40909090909,4.86363636364
22,23,4.95454545455,4.60909090909
23,24,5.00909090909,4.79090909091
