,Time,weekday,weekend
0,1,5.08181818182,4.75454545455
1,2,4.95454545455,4.93636363636
2,3,4.68181818182,4.77272727273
3,4,4.59090909091,4.59090909091
4,5,4.59090909091,4.59090909091
5,6,4.59090909091,4.59090909091
6,7,4.60909090909,4.59090909091
7,8,4.59090909091,4.59090909091
8,9,4.62727272727,4.59090909091
9,10,4.62727272727,4.60909090909
10,11,4.59090909091,4.59090909091
11,12,4.59090909091,4.59090909091
12,13,4.59090909091,4.59090909091
13,14,4.64545454545,4.64545454545
14,15,4.99090909091,4.71818181818
15,16,5.04545454545,4.80909090909
16,17,4.86363636364,4.64545454545
17,18,5.11818181818,4.71818181818
18,19,5.28181818182,4.97272727273
19,20,5.68181818182,5.19090909091
20,21,5.68181818182,4.99090909091
21,22,5.3,5.00909090909
22,23,5.06363636364,4.71818181818
23,24,5.02727272727,4.7
