,weekday,weekend,time
01,4.93636363637,4.80303030303,1
02,4.78484848485,4.83939393939,2
03,4.6696969697,4.71818181818,3
04,4.59696969697,4.67575757576,4
05,4.59090909091,4.62121212121,5
06,4.60303030303,4.59090909091,6
07,4.64545454545,4.59090909091,7
08,4.61515151515,4.59090909091,8
09,4.61515151515,4.59090909091,9
10,4.71212121212,4.63939393939,10
11,4.76666666667,4.62121212121,11
12,4.65151515152,4.7,12
13,4.59696969697,4.65757575758,13
14,4.64545454545,4.71212121212,14
15,4.91212121212,4.80909090909,15
16,4.94242424242,4.82121212121,16
17,4.96060606061,4.73636363636,17
18,4.99696969697,4.7,18
19,5.13636363636,4.88181818182,19
20,5.59090909091,5.08181818182,20
21,5.6393939394,4.82727272727,21
22,5.25757575758,5.00303030303,22
23,4.95454545455,4.66363636364,23
24,5.04545454545,4.71212121212,24
